Category,ID,Latitude,Longitude,Date,MOD11A1_061_LST_Day_1km,MOD11A1_061_LST_Night_1km
Brody 1,3,52.4393333,16.2788972,2018-05-14,296.8200073,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-15,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-16,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-17,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-18,293.0,284.3800049
Brody 1,3,52.4393333,16.2788972,2018-05-19,294.7599792,280.4199829
Brody 1,3,52.4393333,16.2788972,2018-05-20,295.3800049,281.4599915
Brody 1,3,52.4393333,16.2788972,2018-05-21,297.2999878,280.7599792
Brody 1,3,52.4393333,16.2788972,2018-05-22,297.6999817,283.0400085
Brody 1,3,52.4393333,16.2788972,2018-05-23,300.7999878,285.2599792
Brody 1,3,52.4393333,16.2788972,2018-05-24,293.0400085,286.6600037
Brody 1,3,52.4393333,16.2788972,2018-05-25,301.9599915,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-26,301.3599854,287.0799866
Brody 1,3,52.4393333,16.2788972,2018-05-27,301.4199829,286.519989
Brody 1,3,52.4393333,16.2788972,2018-05-28,304.039978,291.8800049
Brody 1,3,52.4393333,16.2788972,2018-05-29,302.1999817,288.2399902
Brody 1,3,52.4393333,16.2788972,2018-05-30,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-31,304.1600037,289.8999939
Brody 1,3,52.4393333,16.2788972,2018-06-01,305.9400024,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-02,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-03,303.5,290.1000061
Brody 1,3,52.4393333,16.2788972,2018-06-04,0.0,289.6999817
Brody 1,3,52.4393333,16.2788972,2018-06-05,0.0,286.6000061
Brody 1,3,52.4393333,16.2788972,2018-06-06,299.3999939,281.0799866
Brody 1,3,52.4393333,16.2788972,2018-06-07,300.0400085,283.4799805
Brody 1,3,52.4393333,16.2788972,2018-06-08,306.039978,289.0
Brody 1,3,52.4393333,16.2788972,2018-06-09,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-10,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-11,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-12,297.7200012,284.5400085
Brody 1,3,52.4393333,16.2788972,2018-06-13,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-14,0.0,283.7799988
Brody 1,3,52.4393333,16.2788972,2018-06-15,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-16,301.0799866,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-17,305.3599854,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-18,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-19,0.0,286.1799927
Brody 1,3,52.4393333,16.2788972,2018-06-20,0.0,289.6399841
Brody 1,3,52.4393333,16.2788972,2018-06-21,0.0,284.8999939
Brody 1,3,52.4393333,16.2788972,2018-06-22,0.0,280.7399902
Brody 1,3,52.4393333,16.2788972,2018-06-23,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-24,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-25,0.0,285.3999939
Brody 1,3,52.4393333,16.2788972,2018-06-26,0.0,284.0599976
Brody 1,3,52.4393333,16.2788972,2018-06-27,297.2599792,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-28,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-06-29,0.0,285.0400085
Brody 1,3,52.4393333,16.2788972,2018-06-30,0.0,283.0400085
Brody 1,3,52.4393333,16.2788972,2018-07-01,291.1000061,280.6799927
Brody 1,3,52.4393333,16.2788972,2018-07-02,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-03,302.1199951,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-04,305.539978,286.9400024
Brody 1,3,52.4393333,16.2788972,2018-07-05,306.0,290.4400024
Brody 1,3,52.4393333,16.2788972,2018-07-06,0.0,287.5400085
Brody 1,3,52.4393333,16.2788972,2018-07-07,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-08,0.0,285.1600037
Brody 1,3,52.4393333,16.2788972,2018-07-09,0.0,286.3399963
Brody 1,3,52.4393333,16.2788972,2018-07-10,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-11,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-12,0.0,286.2799988
Brody 1,3,52.4393333,16.2788972,2018-07-13,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-14,299.0599976,288.2999878
Brody 1,3,52.4393333,16.2788972,2018-07-15,299.6999817,288.7599792
Brody 1,3,52.4393333,16.2788972,2018-07-16,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-17,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-18,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-19,0.0,288.3399963
Brody 1,3,52.4393333,16.2788972,2018-07-20,299.2399902,286.9799805
Brody 1,3,52.4393333,16.2788972,2018-07-21,301.1000061,286.9799805
Brody 1,3,52.4393333,16.2788972,2018-07-22,300.019989,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-23,302.519989,291.7200012
Brody 1,3,52.4393333,16.2788972,2018-07-24,0.0,289.5400085
Brody 1,3,52.4393333,16.2788972,2018-07-25,299.6199951,290.4199829
Brody 1,3,52.4393333,16.2788972,2018-07-26,305.0799866,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-27,0.0,290.9799805
Brody 1,3,52.4393333,16.2788972,2018-07-28,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-07-29,303.3200073,290.6999817
Brody 1,3,52.4393333,16.2788972,2018-07-30,306.4599915,290.5599976
Brody 1,3,52.4393333,16.2788972,2018-07-31,308.0,294.3999939
Brody 1,3,52.4393333,16.2788972,2018-08-01,307.6600037,293.1999817
Brody 1,3,52.4393333,16.2788972,2018-08-02,0.0,292.4799805
Brody 1,3,52.4393333,16.2788972,2018-08-03,306.9199829,291.9400024
Brody 1,3,52.4393333,16.2788972,2018-08-04,310.1399841,0.0
Brody 1,3,52.4393333,16.2788972,2018-08-05,304.2799988,286.3399963
Brody 1,3,52.4393333,16.2788972,2018-08-06,0.0,286.6399841
Brody 1,3,52.4393333,16.2788972,2018-08-07,309.2399902,291.3399963
Brody 1,3,52.4393333,16.2788972,2018-08-08,308.8999939,0.0
Brody 1,3,52.4393333,16.2788972,2018-08-09,311.2399902,295.3399963
Brody 1,3,52.4393333,16.2788972,2018-08-10,0.0,284.8200073
Brody 1,3,52.4393333,16.2788972,2018-08-11,0.0,284.7200012
Brody 1,3,52.4393333,16.2788972,2018-08-12,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-08-13,303.5,0.0
Brody 1,3,52.4393333,16.2788972,2018-08-14,0.0,289.5400085
Brody 1,3,52.4393333,16.2788972,2018-08-15,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-08-16,301.8999939,287.6199951
Brody 1,3,52.4393333,16.2788972,2018-08-17,303.3999939,287.4400024
Brody 1,3,52.4393333,16.2788972,2018-08-18,304.6399841,287.7999878
Brody 1,3,52.4393333,16.2788972,2018-08-19,0.0,288.1799927
Brody 1,3,52.4393333,16.2788972,2018-08-20,304.6000061,288.8599854
